"county_group","county_Deaths","county_Births","county_Mortality_rate","county_HC01_VC03","county_HC01_VC04","county_HC01_VC05","county_HC01_VC07","county_HC01_VC09","county_HC03_VC12_unemp_pct","county_HC01_VC74","county_HC01_VC85_inc_med","county_HC01_VC86_inc_mean","county_HC01_VC103","county_HC01_VC118","county_HC01_VC130","county_HC01_VC131_hc","county_HC03_VC131_hc_pct","county_HC01_VC132_hc_priv","county_HC03_VC132_hc_priv_pct","county_HC01_VC133_hc_pub","county_HC03_VC133_hc_pub_pct","county_HC01_VC134_nohc","county_HC03_VC134_nohc_pct","county_HC01_VC161_bpl","county_HC03_VC161_bpl_pct","county_HC01_VC162_bpl_18","county_HC03_VC162_bpl_18_pct","county_HC01_VC163_bpl_5","county_HC03_VC163_bpl_5_pct"
"Collier County, FL",22,3256,6.75675675675676,285308,152988,152970,11864,132320,7.75576910505328,129888,57452,95419,87665,38297,339234,270687,79.793593802508,198743,58.5858139219536,138361,40.7863009014427,68547,20.206406197492,7977.515,9.1,16919.345,19.3,12886.755,14.7
"Collin County, TX",44,10923,4.0281973816717,651701,467915,467243,23054,183786,4.93404930624964,305827,84735,107693,226540,38883,859074,748153,87.0883067116453,672397,78.2699744143112,132831,15.4621138574791,110921,12.9116932883547,12912.78,5.7,17217.04,7.6,14272.02,6.3
"Contra Costa County, CA",43,12596,3.41378215306446,865668,559534,558915,48995,306134,8.76609144503189,384646,80185,109573,273149,39313,1090556,984128,90.2409413180066,798694,73.2373211462777,309631,28.3920312207718,106428,9.75905868199341,21305.622,7.8,32777.88,12,29226.943,10.7
"Cook County, IL",480,68848,6.97188008366256,4173224,2761294,2760232,296577,1411930,10.7446403055975,1942959,55251,80367,1184857,31013,5192597,4451741,85.7324571885706,3194285,61.5161353750349,1692117,32.5871042948259,740856,14.2675428114294,156401.124,13.2,240525.971,20.3,200240.833,16.9
"Cumberland County, ME",15,2722,5.51065393093314,236013,161178,160804,8608,74835,5.35310066913758,117135,60051,81253,72020,34081,282880,259379,91.6922369909502,210240,74.3212669683258,85078,30.0756504524887,23501,8.30776300904977,5473.52,7.6,9218.56,12.8,8282.3,11.5
"Cumberland County, NC",56,5412,10.3473762010347,248496,161722,135847,17097,86774,12.5854821968833,122643,44171,57531,80343,22931,296804,258644,87.1430304173798,194806,65.6345601811296,103158,34.7562701311303,38160,12.8569695826202,11408.706,14.2,17273.745,21.5,18157.518,22.6
"Cuyahoga County, OH",156,14842,10.510712841935,1021714,645609,645281,68678,376105,10.6431151699802,534719,44190,64869,305683,28215,1247668,1128016,90.4099488004822,814239,65.2608706803412,464952,37.2656828579398,119652,9.59005119951782,44324.035,14.5,73058.237,23.9,78254.848,25.6
"Dakota County, MN",24,5266,4.55753892897835,317479,235937,235728,11739,81542,4.97989207900631,156466,75567,93456,108777,36171,406645,381759,93.8801657465357,334345,82.2203641997319,92223,22.6789951923668,24886,6.11983425346432,5547.627,5.1,9246.045,8.5,9572.376,8.8
"Dallas County, TX",282,40131,7.02698661882335,1881581,1290290,1289396,97438,591291,7.55687158948841,881279,50270,75126,576726,27605,2464732,1852587,75.1638311994976,1285448,52.1536621425778,722883,29.3290710714187,612145,24.8361688005024,91699.434,15.9,134953.884,23.4,109001.214,18.9
"Dane County, WI",41,6178,6.63645192618971,413418,302324,302073,14922,111094,4.93986552919327,211114,62865,82258,122178,34562,506157,475578,93.958593875023,417538,82.4917960237634,114271,22.5761967136679,30579,6.04140612497703,7941.57,6.5,13806.114,11.3,13561.758,11.1
